name,source,domain,url,institution,duration_weeks,difficulty,skill_tags,syllabus_weeks
Data Structures and Algorithms Design,NPTEL,Computer Science and Engineering,https://onlinecourses.nptel.ac.in/noc25_cs81/preview,IIT Kanpur,12,Undergraduate/Postgraduate,"Computer Science and Engineering,Programming,Computer Science & Engineering,Mathematics,Electronics,Physics,Discrete Optimization,Cryptography/ Cyber Security,Coding theory,Computer Algebra,Symbolic Computing Software,Artificial Intelligence,Learning S","[""Week 1:"", ""Week 2:"", ""Week 3:"", ""Week 4:"", ""Week 5:"", ""Week 6:"", ""Week 7:"", ""Week 8:"", ""Week 9:"", ""Week 10:"", ""Week 11:"", ""Week 12:""]"
Advanced Computer Architecture,NPTEL,Computer Science and Engineering,https://onlinecourses.nptel.ac.in/noc25_cs01/preview,IIT Delhi,12,Postgraduate,"Computer Science and Engineering,Systems,Data Structures An,Intel,AMD,IBM,Qualcomm,Texas Instruments",[]
Advanced Computer Networks,NPTEL,Computer Science and Engineering,https://onlinecourses.nptel.ac.in/noc25_cs02/preview,"IIT Indore, IIT Gandhi nagar",12,Undergraduate/Postgraduate,"Computer Science and Engineering,CISCO,Juniper Networks,Sasken,Hewlett-Packard,Wipro,Broadcom","[""Week 1:"", ""Week 2:"", ""Week 3:"", ""Week 4:"", ""Week 5:"", ""Week 6:"", ""Week 7:"", ""Week 8:"", ""Week 9:"", ""Week 10:"", ""Week 11:"", ""Week 12:""]"
Advanced Graph Theory,NPTEL,Computer Science and Engineering,https://onlinecourses.nptel.ac.in/noc25_cs03/preview,IIT Patna,8,Undergraduate/Postgraduate,"Computer Science and Engineering,Companies like Microsoft Research,Google,Facebook","[""Week 1:Introduction to Graphs & its Applications, Basics of Paths, Cycles, and Trails, Connection, Bipartit"", ""Week 2:Trees and Distance, Properties of Trees, Spanning Trees and Enumeration, Matrix-tree computation, Ca"", ""Week 3:Matchings and Covers, Hall's Condition, Min-Max Theorem, Independent Sets, Covers and Maximum Bipart"", ""Week 4:Stable Matchings and Faster Bipartite Matching, Factors & Perfect Matching in General Graphs, Matchi"", ""Week 5:Connectivity and Paths: Cuts and Connectivity, k-Connected Graphs, Network Flow Ford-Fulkerson Label"", ""Week 6:Vertex Coloring and Upper Bounds, Brooks\u2019 Theorem and Color-Critical Graphs, Counting Proper Colorin"", ""Week 7:Planar Graphs, Characterization of Planar Graphs, Kuratowski's Theorem, Wagner's Theorem.Week 8:Line""]"
Affective Computing,NPTEL,Computer Science and Engineering,https://onlinecourses.nptel.ac.in/noc25_cs04/preview,"IIIT Delhi, IIT Ropar",12,Undergraduate/Postgraduate,"Computer Science and Engineering,Artificial Intelligence,In general","[""Week 1:"", ""Week 2:"", ""Week 3:"", ""Week 4:"", ""Week 5:"", ""Week 6:"", ""Week 7:"", ""Week 8:"", ""Week 9:"", ""Week 10:"", ""Week 11:"", ""Week 12:""]"
AI:Constraint Satisfaction,NPTEL,Computer Science and Engineering,https://onlinecourses.nptel.ac.in/noc25_cs05/preview,IIT Madras,8,Undergraduate/Postgraduate,"Computer Science and Engineering,Artificial Intelligence,AI:  Search Methods for",[]
Circuit Complexity Theory,NPTEL,Computer Science and Engineering,https://onlinecourses.nptel.ac.in/noc25_cs10/preview,IIT Kanpur,12,Undergraduate/Postgraduate,Computer Science and Engineering,"[""Week 1:"", ""Week 2:"", ""Week 3:"", ""Week 4:"", ""Week 5:"", ""Week 6:"", ""Week 7:"", ""Week 8:"", ""Week 9:"", ""Week 10:"", ""Week 11:"", ""Week 12:""]"
Computer Networks And Internet Protocol,NPTEL,Computer Science and Engineering,https://onlinecourses.nptel.ac.in/noc25_cs15/preview,IIT Kharagpur,12,Undergraduate/Postgraduate,"Computer Science and Engineering,Systems,Cyber Security,CSE,ECE,EEINDUSTRY SUPPORT :  IT industries,IT industries","[""Week 1"", ""Week 2"", ""Week 3:\u00a0Application Layer Services (HTTP, FTP, Email, DNS)"", ""Week 3"", ""Week 4:\u00a0 Transport Layer Primitives \u2013 Connection Establishment and Closure"", ""Week 4"", ""Week 5:\u00a0 Flow Control and Congestion Control at the Transport Layer"", ""Week 5"", ""Week 6:\u00a0 Transmission Control Protocol \u2013 Basic Features, TCP Congestion Control"", ""Week 6"", ""Week 7:\u00a0 Network Layer Primitives \u2013 IP Addressing"", ""Week 7"", ""Week 8:\u00a0 IP Routing \u2013 Intra Domain Routing Protocols, Inter Domain Routing Protocols (BGP)"", ""Week 8"", ""Week 9:\u00a0 IP Services \u2013 SNMP, ARP"", ""Week 9""]"
Data Science for Engineers,NPTEL,Computer Science and Engineering,https://onlinecourses.nptel.ac.in/noc25_cs20/preview,IIT Madras,8,Undergraduate/Postgraduate,"Computer Science and Engineering,Data Science,Programming,HONEYWELL,ABB,FORD,GYAN DATA PVT. LTD.","[""Week 1:"", ""Week 2:"", ""Week 3:"", ""Week 4:""]"
Digital Design with Verilog,NPTEL,Computer Science and Engineering,https://onlinecourses.nptel.ac.in/noc25_cs25/preview,IIT Guwahati,12,Undergraduate,"Computer Science and Engineering,BTech in CSE,ECE,EIE,Qualcomm,Samsung,Apple,VLSI Industries like Intel,Xilinx,etc.","[""Week 1:"", ""Week 2:"", ""Week 3:"", ""Week 4:"", ""Week 5:"", ""Week 6:"", ""Week 7:"", ""Week 8:Lecture 26:"", ""Week 9:Lecture 29:"", ""Week 10:Lecture 33:"", ""Week 11:Lecture 37:"", ""Week 12:Lecture 40:""]"
Embedded Systems Design,NPTEL,Computer Science and Engineering,https://onlinecourses.nptel.ac.in/noc25_cs30/preview,IIT Kharagpur,12,Undergraduate,"Computer Science and Engineering,Robotics","[""Week 1:"", ""Week 2:"", ""Week 3:"", ""Week 4:"", ""Week 5:"", ""Week 6:"", ""Week 7:"", ""Week 8:"", ""Week 9:"", ""Week 10:"", ""Week 11:"", ""Week 12:""]"
Games and Information,NPTEL,Computer Science and Engineering,https://onlinecourses.nptel.ac.in/noc25_cs35/preview,IIT Bombay,12,Postgraduate,"Computer Science and Engineering,Data Science,Artificial Intelligence,platforms like Ola,Uber,Amazon.,Stock and commodity exchanges","[""Week 1:"", ""Week 2:"", ""Week 3:"", ""Week 4:"", ""Week 5:"", ""Week 6:"", ""Week 7:"", ""Week 8:"", ""Week 9:"", ""Week 10:"", ""Week 11:"", ""Week 12:""]"
Introduction to Database Systems,NPTEL,Computer Science and Engineering,https://onlinecourses.nptel.ac.in/noc25_cs40/preview,IIT Madras,12,Undergraduate,"Computer Science and Engineering,Programming,Systems,Discrete Mathematics or Discrete Structures,Programming and Data","[""Week 1\u00a0 \u00a0: Introduction and part of E/R Model ModuleWeek 2\u00a0 \u00a0: ER Model ModuleWeek 3\u00a0 \u00a0: Relational Model M"", ""Week 4\u00a0 \u00a0: Relational Model ModuleWeek 5\u00a0 \u00a0: TRC Module and part of SQL ModuleWeek 6\u00a0 \u00a0: SQL ModuleWeek 7"", ""Week 8\u00a0 \u00a0: Indexes Module + Query Processing ModuleWeek 9\u00a0 \u00a0: Normal Forms ModuleWeek 10 : Normal Forms Mod"", ""Week 11 : Transaction Processing ModuleWeek 12 : Transaction Processing Module""]"
Introduction to Large Language Models (LLMs),NPTEL,"Electrical, Electronics and Communications Engineering",https://onlinecourses.nptel.ac.in/noc25_cs45/preview,"IIT Delhi, IIT Bombay",12,Undergraduate/Postgraduate,"Electrical, Electronics and Communications Engineering,Information Technology,Communication and Signal Processing,Data Science,Artificial Intelligence,UG and PG students in CSE,EE,ECE,IT,Maths,etc.PREREQUISITES: Mandatory: Machine Learning,such as Google,Microsoft,Adobe,IBM","[""Week 1"", ""Week 2"", ""Week 3"", ""Week 4"", ""Week 5"", ""Week 6"", ""Week 7"", ""Week 8"", ""Week 9"", ""Week 10"", ""Week 11"", ""Week 12""]"
"Machine Learning, ML",NPTEL,Computer Science and Engineering,https://onlinecourses.nptel.ac.in/noc25_cs50/preview,"KTH, The Royal Institute of Technology",8,Postgraduate,"Computer Science and Engineering,Robotics,Broad industrial interest at present,i.e. for autonomous vehicles,robots,intelligent assistants and general datamining","[""Week 1"", ""Week 2"", ""Week 3"", ""Week 4"", ""Week 5"", ""Week 6"", ""Week 7"", ""Week 8""]"
"Design, Technology and Innovation",NPTEL,Design Engineering,https://onlinecourses.nptel.ac.in/noc25_de01/preview,IIT Bombay,8,Undergraduate,"Design Engineering,Open for all","[""Week 1"", ""Week 2"", ""Week 3"", ""Week 4"", ""Week 5"", ""Week 6"", ""Week 7"", ""Week 8""]"
Fundamentals of Automotive Systems,NPTEL,Design Engineering,https://onlinecourses.nptel.ac.in/noc25_de02/preview,IIT Madras,12,Undergraduate/Postgraduate,"Design Engineering,Mechanical Engineering,Thermodynamics,Fluid Me","[""Week 1""]"
Innovation by Design,NPTEL,Design Engineering,https://onlinecourses.nptel.ac.in/noc25_de03/preview,IIT Bombay,4,Undergraduate,"Design Engineering,Patents and Intellectual Property Rights,Open to all","[""Week 1 :"", ""Week 2 :"", ""Week 3 :"", ""Week 4 :""]"
Understanding Design,NPTEL,Design Engineering,https://onlinecourses.nptel.ac.in/noc25_de05/preview,IIT Bombay,4,Undergraduate,Design Engineering,"[""Week 1 :"", ""Week 2 :"", ""Week 3 :"", ""Week 4 :""]"
Design Practices for Intelligent Product Design,NPTEL,Design Engineering,https://onlinecourses.nptel.ac.in/noc25_de10/preview,IIT Kanpur,8,Postgraduate,"Design Engineering,Manufacturing Industry,Aerospace Industry,Automobile Company","[""Week 1:"", ""Week 2:"", ""Week 3:"", ""Week 4:"", ""Week 5:"", ""Week 6:"", ""Week 7:"", ""Week 8:""]"
Functional and Conceptual Design,NPTEL,Design Engineering,https://onlinecourses.nptel.ac.in/noc25_de17/preview,IIT Madras,12,Undergraduate/Postgraduate,Design Engineering,"[""Week 1\u00a0 :"", ""Week 2\u00a0 :"", ""Week 3\u00a0 :"", ""Week 4\u00a0 :"", ""Week 5\u00a0 :"", ""Week 6\u00a0 :"", ""Week 7\u00a0 :"", ""Week 8\u00a0 :"", ""Week 9\u00a0 :"", ""Week 10:"", ""Week 11:"", ""Week 12:""]"
Understanding Incubation and Entrepreneurship,NPTEL,Design Engineering,https://onlinecourses.nptel.ac.in/noc25_de20/preview,IIT Bombay,12,Undergraduate,Design Engineering,"[""Week 1:"", ""Week 2:"", ""Week 3:"", ""Week 4:"", ""Week 5:"", ""Week 6:"", ""Week 7:"", ""Week 8:"", ""Week 9:"", ""Week 10:"", ""Week 11:"", ""Week 12:""]"
Advanced Financial Analytics,NPTEL,Management Studies,https://onlinecourses.nptel.ac.in/noc25_mg01/preview,IIT Kanpur,12,Undergraduate/Postgraduate,"Management Studies,Finance,Economics,Economics & Finance,Management students (Ph.D. and MBA),Commerce students (B.Com,M.Com.),Chartered Accountants,Science (B.Sc.,M.Sc.),and Engineering students (B-Tec,Fractal Analytics,Manthan.Latent View,Tiger Analytics,Absolutedata","[""Week 1:"", ""Week 2:"", ""Week 3:"", ""Week 4:"", ""Week 5:"", ""Week 6:"", ""Week 7:"", ""Week 8:"", ""Week 9:"", ""Week 10:"", ""Week 11:"", ""Week 12:""]"
AI in Human Resource Management,NPTEL,Management Studies,https://onlinecourses.nptel.ac.in/noc25_mg05/preview,IIT Guwahati,12,Postgraduate,"Management Studies,Human Resource Management,MBA,EMBA","[""Week 1"", ""Week 2"", ""Week 3"", ""Week 4"", ""Week 5"", ""Week 6"", ""Week 7"", ""Week 8"", ""Week 9"", ""Week 10"", ""Week 11"", ""Week 12""]"
Business Analytics For Management Decision,NPTEL,Management Studies,https://onlinecourses.nptel.ac.in/noc25_mg10/preview,IIT Kharagpur,12,Undergraduate/Postgraduate,"Management Studies,Operations,ManagementPREREQUISITES  : Basic Statistics,Basic Mathematics,Basic Management","[""Week 1:"", ""Week 2:Exploring Data and Analytics on Spreadsheets"", ""Week 2:"", ""Week 3:Descriptive Analytics"", ""Week 3:"", ""Week 4:Inferential Analytics 1"", ""Week 4:"", ""Week 5:Inferential Analytics 2"", ""Week 5:"", ""Week 6:Predictive Analytics 1"", ""Week 6:"", ""Week 7:Predictive Analytics 2"", ""Week 7:"", ""Week 8:Predictive Analytics 3"", ""Week 8:"", ""Week 9:Prescriptive Analytics 1""]"
Business Statistics,NPTEL,Management Studies,https://onlinecourses.nptel.ac.in/noc25_mg15/preview,IIT Roorkee,12,Undergraduate/Postgraduate,"Management Studies,Managerial Economics,Operations,Students of B.Tech. M.Tech,PhD and working professionals","[""Week 1\u00a0 :"", ""Week 2\u00a0 :"", ""Week 3\u00a0 :"", ""Week 4\u00a0 :"", ""Week 5\u00a0 :"", ""Week 6\u00a0 :"", ""Week 7\u00a0 :"", ""Week 8\u00a0 :"", ""Week 9\u00a0 :"", ""Week 10\u00a0 :"", ""Week 11\u00a0 :"", ""Week 12\u00a0 :""]"
Management of Field Sales,NPTEL,Management Studies,https://onlinecourses.nptel.ac.in/noc25_mg41/preview,IIT Kanpur,4,Undergraduate/Postgraduate,"Management Studies,Marketing,MBA students,senior B. Tech students,Consumer Durables,FMCG,Automotive,Chemical,Pharmaceutical,Engineering and Service Industries","[""Week 1 :"", ""Week 2 :Products and Solutions, Approaches for Solution Selling, Buying Process Fundamentals-I, Buying Process Fundamentals- II, Opportunity classifications"", ""Week 2 :"", ""Week 3 :Account based sales management, Adaptive Selling strategy, Consultative Interactions for the sales person, Pitching and Presentation, Sales Negotiation"", ""Week 3 :"", ""Week 4 :Adaptive Sales Closing, Service management post-sales, Managing Sales Teams, Sales Automation, Personal Development for the Sales manager"", ""Week 4 :""]"
A brief introduction of Micro - Sensors,NPTEL,"Electrical, Electronics and Communications Engineering",https://onlinecourses.nptel.ac.in/noc25_ee01/preview,IISER Bhopal,4,Postgraduate,"Electrical, Electronics and Communications Engineering,Electronics and MechanicsINDUSTRY SUPPORT  : TSMC,ASML,Sandisk,Applied Materials etc. semicond","[""Week 1""]"
Analog Electronic Circuits - IITM,NPTEL,"Electrical, Electronics and Communications Engineering",https://onlinecourses.nptel.ac.in/noc25_ee05/preview,IIT Madras,12,Undergraduate,"Electrical, Electronics and Communications Engineering,VLSI design,Undergraduate students,Basic Circuit Theory,Electrical Circuits and NetworksINDUSTRY SUPPOR,All semiconductor design / services companies","[""Week 1:"", ""Week 2:"", ""Week 3:"", ""Week 4:"", ""Week 5:"", ""Week 6:"", ""Week 7:"", ""Week 8:"", ""Week 9:"", ""Week 10:"", ""Week 11:"", ""Week 12:""]"
Circuit Analysis for Analog Designers,NPTEL,"Electrical, Electronics and Communications Engineering",https://onlinecourses.nptel.ac.in/noc25_ee10/preview,IIT Madras,12,Postgraduate,"Electrical, Electronics and Communications Engineering,VLSI design,M.Tech/M.S/Ph.D students,Companies engaged in analog,mixed-signal and RF design.","[""Week 1:"", ""Week 2:"", ""Week 3:"", ""Week 4:"", ""Week 5:"", ""Week 6:"", ""Week 7:"", ""Week 8:"", ""Week 9:"", ""Week 10:"", ""Week 11:"", ""Week 12:""]"
Control engineering,NPTEL,"Electrical, Electronics and Communications Engineering",https://onlinecourses.nptel.ac.in/noc25_ee15/preview,IIT Madras,12,Undergraduate/Postgraduate,"Electrical, Electronics and Communications Engineering,Control and Instrumentation,Power Systems and Power Electronics,Any industry into Industrial Automation","[""Week 1:"", ""Week 2:"", ""Week 3:"", ""Week 4:"", ""Week 5:"", ""Week 6:"", ""Week 7:"", ""Week 8:"", ""Week 9:"", ""Week 10:"", ""Week 11:"", ""Week 12:""]"
Acoustic Materials And Metamaterials,NPTEL,Mechanical Engineering,https://onlinecourses.nptel.ac.in/noc25_me01/preview,IIT Roorkee,8,Postgraduate,"Mechanical Engineering,Advanced Dynamics and Vibration,Materials Engineering,Acoustics,Phy,ARCI,TATA Advanced Materials Limited,Huntsman Corporation,IACS,Materials","[""Week 1 :\u00a0Acoustics fundamentals"", ""Week 2 :\u00a0Advanced concepts in acoustics Sound signal analysis Principles of Noise controlWeek 3 :\u00a0Acoustic"", ""Week 4 :\u00a0Porous sound absorbers Panel absorbers Helmholtz resonators Perforated panel absorbersWeek 5 :\u00a0Mic"", ""Week 6 :\u00a0Acoustic metamaterials Membrane type acoustic metamaterialsWeek 7 :\u00a0Membrane type acoustic metamat"", ""Week 8 :\u00a0Sonic crystals Guidelines for material selection""]"
Applied Ergonomics,NPTEL,Mechanical Engineering,https://onlinecourses.nptel.ac.in/noc25_me05/preview,"IIT Kanpur, IIT Jodhpur",12,Undergraduate,"Mechanical Engineering,Industries related to Work Study and Management","[""Week 1"", ""Week 2"", ""Week 3"", ""Week 4"", ""Week 5"", ""Week 6"", ""Week 7"", ""Week 8"", ""Week 9"", ""Week 10"", ""Week 11"", ""Week 12""]"
Computational Fluid Dynamics For Incompressible Flows,NPTEL,Mechanical Engineering,https://onlinecourses.nptel.ac.in/noc25_me10/preview,IIT Guwahati,12,Undergraduate/Postgraduate,"Mechanical Engineering,Computational Thermo Fluids,BHEL,NTPC,Eaton","[""Week 1 : Introduction to Computational Fluid DynamicsWeek 2 : Classification of PDEsWeek 3 : Finite differe"", ""Week 4 : Elliptic equationsWeek 5 : Parabolic equationsWeek 6 : Hyperbolic equationsWeek 7 : Stability Anal"", ""Week 8 : Vorticity-stream function formulationWeek 9 : MAC Algorithm\u00a0Week 10 : Finite volume methodWeek 11"", ""Week 12 : SIMPLE algorithm""]"
Advanced Computational Techniques,NPTEL,Mathematics,https://onlinecourses.nptel.ac.in/noc25_ma01/preview,IIT Kharagpur,4,Undergraduate/Postgraduate,"Mathematics,UG or PG of any Engineering course","[""Week 1:"", ""Week 2:"", ""Week 3:"", ""Week 4:""]"
Algebra - II,NPTEL,Mathematics,https://onlinecourses.nptel.ac.in/noc25_ma05/preview,"The Institute of Mathematical Sciences, Chennai",12,Postgraduate,Mathematics,"[""Week 1:"", ""Week 2:"", ""Week 3:"", ""Week 4:"", ""Week 5:"", ""Week 6:"", ""Week 7:"", ""Week 8:"", ""Week 9:"", ""Week 10:"", ""Week 11:"", ""Week 12:""]"
An introduction to Point-Set-Topology Part-I,NPTEL,Mathematics,https://onlinecourses.nptel.ac.in/noc25_ma10/preview,IIT Bombay,12,Undergraduate,Mathematics,"[""Week 1 :"", ""Week 2 :Chapter I - Introduction -Examples,\u00a0Functions,\u00a0Topology of the n-dim. Euclidean space,\u00a0Equivalences on metric spaces,\u00a0Equivalences continued."", ""Week 2 :"", ""Week 3 :"", ""Week 4 :Chapter I - Introduction -More examples, Metric Trinity, Baire\u2019s Category Theorem, An Application in Analysis, Completion of Metric space."", ""Week 4 :"", ""Week 5 :"", ""Week 6 :Chapter II - Creating New Spaces -Extending neighbourhoods, Quotient Spaces, Product of spaces, Study of Products - continued, Induced and co-induced topologies."", ""Week 6 :"", ""Week 7 :"", ""Week 8 :Chapter III- Smallness Properties of Topological Spaces -Compactness and Lindel\u00f6fness, Compact Metric Spaces, Compactness-continued, Countability and Separability, Types of Topological Properties."", ""Week 8 :"", ""Week 9 :"", ""Week 10 :Chapter IV - Largeness properties -Fr\u00e9chet Spaces, Hausdorff spaces, Examples and Applications, Examples and Applications - continued."", ""Week 10 :"", ""Week 11 :""]"
Advanced Level of Spoken Sanskrit,NPTEL,Humanities and Social Sciences,https://onlinecourses.nptel.ac.in/noc25_hs01/preview,IIT Kharagpur,8,Postgraduate,"Humanities and Social Sciences,technology,computer sci","[""Week 1:"", ""Week 2:Revision and practice of sandhi (Vowel with vowel / Vowel with consonant / Consonant with consonant / Aspirant with vowel or consonant; Introduction of declensions with new word endings and tenses \u2013 1; Daily Vocabulary; Poetic verses, conversations and stories"", ""Week 2:"", ""Week 3:Introduction of declensions with new word endings and tenses \u2013 2; Introduction of 10 la-k\u0101ras (10 forms of verb conjugations); Daily vocabulary; Poetic verses, conversations and stories"", ""Week 3:"", ""Week 4:Practice with more verbs in different moods and tenses; Introduction of karmav\u0101cyam or Passive Voice\u00a0; Practice of sentence structures with different questions using new noun forms"", ""Week 4:"", ""Week 5:Introduction of declensions with new word endings and tenses \u2013 3; Introduction and practice of different pratyaya-s or suffixes and their application; Daily vocabulary; Poetic verses, conversations and stories"", ""Week 5:"", ""Week 6:Introduction of declensions with new word endings and tenses \u2013 4; Introduction to different avyaya-s or indeclinables and their application; Daily Vocabulary; Poetic verses, conversations and stories"", ""Week 6:"", ""Week 7:Introduction and practice of sam\u0101sa-s or compound words; Summary of the sentence structures using the plural with different questions; Poetic verse, reading and comprehension, conversations"", ""Week 7:"", ""Week 8:Practice with a variety of word endings, various verbs in different moods and tenses; Summary of the portions that were covered in the course; Poetic verse, reading and comprehension, conversations"", ""Week 8:""]"
Bilingualism: A cognitive and psycholinguistic perspective,NPTEL,Humanities and Social Sciences,https://onlinecourses.nptel.ac.in/noc25_hs05/preview,IIT Guwahati,8,Undergraduate/Postgraduate,"Humanities and Social Sciences,Undergraduates,Postgraduates,PhD students,society and language will find this useful.","[""Week 1: Becoming and being bilingual : Socio-historical aspects: Language contact: reasons and effect; Atti"", ""Week 2: Bilingual acquisition : Childhood bilingualism; childhood SLA; adult SLAWeek 3: Bilingual cognition"", ""Week 4: Brain of a bilingual : Cerebral laterality; aphasia & electrophysiological data; laterality in term"", ""Week 5: Bilingual speech processing : Speech perception, comprehension and production in children and adult"", ""Week 6: Bilingual lexical and sentence processing : Bilingual mental lexicon: phonological, orthographic, a"", ""Week 7: Cognitive consequences of bilingualism : Consequences of bilingualism: metalinguistic abilities; la"", ""Week 8: Applied areas : Bilingual education; language planning and policy; language teaching; advertising;""]"
Foundations of Cryptography,NPTEL,Computer Science and Engineering,https://onlinecourses.nptel.ac.in/noc24_cs01/preview,IIIT Bangalore,12,Undergraduate/Postgraduate,"Computer Science and Engineering,Foundations of Computing","[""Week 1:\u00a0 Course Overview, Symmetric-key Encryption, Historical Ciphers, Perfect Security and Its Limitation"", ""Week\u00a02:  Computational Security, Semantic Security and Pseudorandom Generators (PRGs)Week 3:  Stream Cipher"", ""Week\u00a04:  CPA-Secure Ciphers from PRF, Modes of Operations of Block Ciphers, Theoretical Constructions of Bl"", ""Week\u00a05:  DES, AES and Message Authentication Codes (MAC)"", ""Week\u00a06:  Information-theoretic Secure MAC, Cryptographic Hash Functions, Ideal-Cipher Model, Davies-Meyer c"", ""Week\u00a07:  Birthday Attacks on Cryptographic Hash Functions, Applications of Hash Functions, Random Oracle Mo"", ""Week 8:\u00a0 Generic Constructions of Authenticated Encryption Schemes, Key-exchange Problem, One-way Trapdoor"", ""Week\u00a09:  Discrete-Logarithm Problem, Computational Diffie-Hellman Problem, Decisional Diffie-Hellman Proble"", ""Week\u00a010:\u00a0El Gamal Encryption Scheme, RSA Assumption, RSA Public-key Cryptosystem, KEM-DEM Paradigm and CCA-s"", ""Week\u00a011: CCA-secure Public-key Hybrid Ciphers Based on Diffie-Hellman Problems and RSA-assumption, Digital S"", ""Week 12:\u00a0Schnorr Signature, Overview of TLS/SSL, Number Theory, Interactive Protocols and Farewell""]"
Switching Circuits and Logic Design,NPTEL,Computer Science and Engineering,https://onlinecourses.nptel.ac.in/noc24_cs10/preview,IIT Kharagpur,12,Undergraduate,"Computer Science and Engineering,Wipro,CTS,Goog,TCS,Google,Microsoft,HP,Intel,IBM","[""Week 1"", ""Week 2"", ""Week 3"", ""Week 4"", ""Week 5"", ""Week 6"", ""Week 7"", ""Week 8"", ""Week 9"", ""Week 10"", ""Week 11"", ""Week 12""]"
Strategies for Sustainable Design,NPTEL,Architecture and Planning,https://onlinecourses.nptel.ac.in/noc24_de01/preview,IIT Hyderabad,12,Undergraduate/Postgraduate,"Architecture and Planning,Civil Engineering,Design Engineering,Architecture,Product Design,Interiors,Construction","[""Week 1:"", ""Week 2:"", ""Week 3:"", ""Week 4:"", ""Week 5:"", ""Week 6:"", ""Week 7:"", ""Week 8:"", ""Week 9:"", ""Week 10:"", ""Week 11:"", ""Week 12:""]"
Project Management,NPTEL,Management Studies,https://onlinecourses.nptel.ac.in/noc24_mg01/preview,IIT Roorkee,8,Undergraduate/Postgraduate,"Management Studies,Operations","[""Week 1:"", ""Week 2:"", ""Week 3:"", ""Week 4:"", ""Week 5:"", ""Week 6:"", ""Week 7:"", ""Week 8:""]"
Neural Science for Engineers,NPTEL,Multidisciplinary,https://onlinecourses.nptel.ac.in/noc24_ee01/preview,National Institute of Mental Health and Neurosciences (NIMHANS),12,Postgraduate,"Multidisciplinary,Electrical, Electronics and Communications Engineering,Biosciences,Bioengineering,Engineering Students,Faculty from Engineering Colleges,Medical Students,but not essential","[""Week 1:"", ""Week 2:"", ""Week 3:"", ""Week 4:"", ""Week 5:"", ""Week 6:"", ""Week 7:"", ""Week 8:"", ""Week 9:"", ""Week 10:"", ""Week 11:"", ""Week 12:""]"
